"Descrizione Breve","Anno di Scoperta","Descrizione Lunga","Nome Inventore","Paese di Origine"
"Composizione del Poema Gilgamesh","-2100","Antico poema epico mesopotamico.","Autore sconosciuto","Mesopotamia"
"Codice di Hammurabi","-1750","Primo codice di leggi scritte.","Hammurabi","Babilonia"
"Fondazione di Cartagine","-814","Fondazione della città fenicia di Cartagine.","Dido","Cartagine"
"Composizione dell'Iliade","-800","Uno dei primi poemi epici della storia.","Omero","Grecia"
"Magnetismo","-600","Fenomeno fisico per cui materiali esercitano forze attrattive o repulsive.","Tales","Grecia"
"Teorema di Pitagora","-530","Fondamentale relazione matematica tra i lati di un triangolo rettangolo.","Pitagora","Grecia"
"Battaglia di Marathon","-490","Battaglia cruciale nella prima guerra persiana.","Milziade","Grecia"
"Battaglia di Actium","-31","Ottaviano diventa Augusto, primo imperatore.","Augusto","Impero Romano"
"Sismografo","132","Strumento per rilevare e registrare terremoti.","Zhang Heng","Cina"
"Editto di Milano","313","Editto che proclamò tolleranza religiosa nell'Impero Romano.","Costantino il Grande","Impero Romano"
"Editto di Milano","313","Tolleranza religiosa per i cristiani.","Costantino I","Impero Romano"
"Concilio di Nicea","325","Primo concilio che definì uniformità nella cristianità.","Costantino il Grande","Impero Romano"
"Concilio di Nicea","325","Primo concilio ecumenico cristiano.","Costantino I","Impero Romano"
"Caduta dell'Impero Romano","476","Fine dell'Impero Romano d'Occidente e inizio Medioevo.","Romolo Augustolo","Impero Romano"
"Fondazione di Baghdad","762","Baghdad diventa capitale islamica.","Califfo al-Mansur","Califfato Abbaside"
"Coronazione di Carlo Magno","800","Fondazione Sacro Romano Impero.","Carlo Magno","Sacro Romano Impero"
"Trattato di Verdun","843","Divisione dell'impero carolingio.","Ludovico il Pio","Europa"
"Battaglia di Hastings","1066","Normanni vincono, influenzano l'Inghilterra.","Guglielmo il Conquistatore","Inghilterra"
"La Chanson de Roland","1100","Epopea che racconta la battaglia di Roncisvalle.","Autore anonimo","Francia"
"Scritti di Hildegard von Bingen","1150","Compositrice e mistica, autrice di testi visionari.","Hildegard von Bingen","Germania"
"Firma della Magna Carta","1215","Limita il potere regale e basi del diritto costituzionale.","Re Giovanni d'Inghilterra","Inghilterra"
"Battaglia di Ain Jalut","1260","Mongoli fermati dai Mamelucchi.","Saif ad-Din Qutuz","Mongolia/Mamelucchi"
"Nascita di Dante Alighieri","1265","Poeta italiano, autore della Divina Commedia.","Dante Alighieri","Italia"
