Descrizione Breve	Anno di Scoperta	Descrizione Lunga	Nome Inventore	Paese
Linguaggio di programmazione JavaScript	1995	Linguaggio di scripting lato client per pagine web interattive	Brendan Eich	Stati Uniti
Linguaggio di programmazione Python	1991	Linguaggio di programmazione ad alto livello, versatile e ampiamente utilizzato	Guido van Rossum	Paesi Bassi
Trattato di Maastricht	1992	Maastricht Treaty created the European Union		
Macchina a vapore	1712	Invenzione cruciale che ha permesso il progresso dell'era industriale	Thomas Newcomen	Regno Unito
Macchina da scrivere	1867	Strumento meccanico o elettromeccanico per scrivere testo	Christopher Sholes	Stati Uniti
Macchina fotografica	1816	Dispositivo per catturare immagini, antenata delle moderne fotocamere	Nicéphore Niépce	Francia
Macchina Fotografica Digitale	1975	Dispositivo per catturare immagini in forma digitale	Steven Sasson	Stati Uniti
Magnetismo	-600	Fenomeno fisico per cui materiali esercitano forze attrattive o repulsive	Tales	Grecia
Magnetron	1940	Tubo che produce microonde, utilizzato in radar e forni a microonde	John Randall, Harry Boot	Regno Unito
Il Milione di Marco Polo	1298	Marco Polo published his itinerary of China, along with Rustichello da Pisa		
Margaret Thatcher diventa UK Prime Minister	1979	Margaret Thatcher became the Prime Minister of the UK		
Assasinio di Martin Luther King	1968	Martin Luther King, Jr and Robert F Kennedy assassinated while the Poor People's Campaign		
Pubblicazione Mein Kampf	1925	Mein Kampf (an autobiography of the National Socialist leader Adolf Hitler) was published		
Ukltima impiccagione pubblica in Inghilterra	1868	Michael Barrett was the last person to be publicly hanged in England		
Creazione di Mickey Mouse	1928	Mickey Mouse was created at the Walt Disney Studio		
Microprocessore	1971	Cuore di un computer, esegue istruzioni di un programma di computer	Intel	Stati Uniti
Microscopio	1590	Strumento che permette di vedere oggetti troppo piccoli per essere visti ad occhio nudo	Hans e Zacharias Jansen	Paesi Bassi
Addomesticamento di capre e cani in medio oriente	-10000	Middle East people domesticated goats and dogs		
Mikhail Gorbachev Premier dell'Unione Sovietica	1985	Mikhail Gorbachev became Premier of the Soviet Union		
Fine del sistema monarchico in Nepal	2008	Monarchy system terminated in Nepal		
Monroe Doctrine	1823	Monroe Doctrine was declared by US President James Monroe		
Motore a combustione interna	1859	Motore che genera energia meccanica tramite la combustione di carburante	Étienne Lenoir	Francia
Motore a reazione	1930	Motore che espelle getti ad alta velocità per generare spinta	Frank Whittle, Hans von Ohain	Regno Unito, Germania
Motore elettrico	1831	Dispositivo che converte energia elettrica in energia meccanica	Michael Faraday	Regno Unito
Eruzione del Vesuvio e distruzione di Pompei	79	Mount Vesuvius erupted and destructed Pompeii and other towns (in Italy)		
Movimento artistico Harlem Renaissance	1920	Rivoluzione culturale e artistica afroamericana	Artisti vari	Stati Uniti
Salita al potere di Muammar Gaddafi	1969	Muammar Gaddafi overthrew King Idris of Libya in a Coup d'état and established the Libyan Arab Republic		
Morte di Maometto	632	Muhammad died		
Inizio predicazione di Maometto	613	Muhammad had commenced preaching publicly in his hometown, Mecca		
Maometto si sposta da Mecca a Medina	622	Muhammad Migrated from Mecca to Medina		
Accordo di Monaco	1938	Munich agreement that handed over Czechoslovakia to Nazi Germany		
Napoleone sconfigge l'Austria	1801	Napoleon (of France) defeated Austria		
Esilio di Napoleone all'Elba	1814	Napoleon abdicated and was exiled to Elba		
Napoleone Bonaparte diventa lieutenant dell'artiglieria francese	1785	Napoleon Bonaparte became a lieutenant in the French artillery		
Morte di Napoleone	1821	Napoleon Bonaparte died (at Saint Helena Island, where he was exiled)		
